source,path,sha256,rights_status,decision
repo,assets/arenas/arena01_beast_crucible/arena01_bg_mountains.png,ac13c432168406b0b243b09f092a382ef71a5f55ff093fa2b9d4bd2396d367d0,unknown,reference-only; review before runtime admission
repo,assets/arenas/arena01_beast_crucible/arena01_bg_sky.png,00ffe151a38af94b256e201de551a0c537c6f38f29f8710d6f45d1bce3e13e9f,unknown,reference-only; review before runtime admission
repo,assets/arenas/arena01_beast_crucible/arena01_fg_combat_floor.png,f2cb148b1f25ed72ed4fe5ebdacb500e11d44da767603c02845c9976a00e4766,unknown,reference-only; review before runtime admission
repo,assets/arenas/arena01_beast_crucible/arena01_mg_back_architecture.png,eedd9031fdfb265781a76f0fb26a4da5b5ead57cb9edbac850c8d18de40a922d,unknown,reference-only; review before runtime admission
repo,assets/arenas/arena01_beast_crucible/arena01_mg_crystal_core.png,ae9422a824b1e815f7343b1be6b8a7fdd0f922faa3a52dd9e9144c64deda34d4,unknown,reference-only; review before runtime admission
repo,assets/branches/assault.png,02369e4b32693776c13cb482832d867c06f63af90ccf958718e1546c4e8b3abf,unknown,reference-only; review before runtime admission
repo,assets/branches/dodge.png,97d62eb75938bb00b8d191f66be7d715fdb9c2637b4e7583830a281cb55940a2,unknown,reference-only; review before runtime admission
repo,assets/branches/essence.png,d94c4ebf872fa1f7d54ead722f2208aaf1f717b2bf1105dfb6f4cd04d8ad2e18,unknown,reference-only; review before runtime admission
repo,assets/branches/guardian.png,9719483ecdf1d55d139d86a739a8521d7ebcfa4ba152e2523268a679e2397098,unknown,reference-only; review before runtime admission
repo,assets/branches/healing.png,0272611840674b2387666c7619e12c38441a0b75e607177d1e239725aee19b3f,unknown,reference-only; review before runtime admission
repo,assets/branches/ice.png,3be4f8f5cd96bec50204d5dc40975244ab349e4e69372aae517fed6fc89c019d,unknown,reference-only; review before runtime admission
repo,assets/branches/power.png,4c4f14e96a85f4e742086b0549f5b4e2493f3b9d780f3c40031ee0d2155f7b3e,unknown,reference-only; review before runtime admission
repo,assets/branches/precision.png,9193f6f5622b5318df376ee281bf56df06a6beec4b0583ec4a15cae5370ff77f,unknown,reference-only; review before runtime admission
repo,assets/branches/rage.png,6bb0b132f2e7ee1e071f206d2cc11363636793e38a8500bc09ac75201c3f703c,unknown,reference-only; review before runtime admission
repo,assets/branches/shield.png,9c7d6b4c61c48da99535843702c6b8bf0d053bf327c2d8698e7d02ac4c8a69ea,unknown,reference-only; review before runtime admission
repo,assets/branches/toxin.png,34ac046eb05d22fb9b3ba3fc569e7e54329e83e3af6943d7f5c47998163e8d17,unknown,reference-only; review before runtime admission
repo,assets/branches/wound.png,ffe4a06fe433961464111e205c4d6ffd49f3aa1623f71c3024fb9f2f5e4c9b9d,unknown,reference-only; review before runtime admission
repo,assets/cards/assault_epic.svg,263055cfe972b5760fe31134e83a805416d5b3a1c383a98a6edb5422f0f53762,unknown,reference-only; review before runtime admission
repo,assets/cards/assault_legendary.svg,1f6cdf4861805920f857352ac9e780949d8473637eb7f4316d861ee525a6b151,unknown,reference-only; review before runtime admission
repo,assets/cards/assault_normal.svg,d00fa3890a7fee04ba0c18c1bb391646c018c94938793d0bde9038409d8eee3a,unknown,reference-only; review before runtime admission
repo,assets/cards/dodge_epic.svg,013e5300a0eaed1d13ea1f0ea4a90ebaa308f2322a04a1e0ea560948f9ce77c0,unknown,reference-only; review before runtime admission
repo,assets/cards/dodge_legendary.svg,8dea23ae118309daa79b978ed14cd9548b7315bf94f6cdae18aab3c93cd498c5,unknown,reference-only; review before runtime admission
repo,assets/cards/dodge_normal.svg,5c4a5bf0b516088402ee222a2b9579dd9b1c5c40baefeaf5bcabb9328944f259,unknown,reference-only; review before runtime admission
repo,assets/cards/essence_epic.svg,85b001779b17aac2822c04fb5917384bdd489feabef97cf9df09abdf23150ceb,unknown,reference-only; review before runtime admission
repo,assets/cards/essence_legendary.svg,d6bb64a27856de0b1bbe2e6a475367be61ef5a3b6d1e2b12a6940ae11d7f30f5,unknown,reference-only; review before runtime admission
repo,assets/cards/essence_normal.svg,5e5f13f26007e0a965dbb549d7e1419cd4e45dcad24520d419c84da4c63328e0,unknown,reference-only; review before runtime admission
